Random games won/total: 1/1.0, win %: 100.0%, last score: 1.0
Trained episode: 128, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 3923
Trained episode: 129, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 3954
Trained episode: 130, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 3985
Trained episode: 131, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4016
Trained episode: 132, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4047
Trained episode: 133, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 4077
Trained episode: 134, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4107
Trained episode: 135, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 4137
Trained episode: 136, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 4167
Trained episode: 137, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 4197
Trained episode: 138, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4228
Trained episode: 139, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4258
Trained episode: 140, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4288
Trained episode: 141, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 4319
Trained episode: 142, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4349
Trained episode: 143, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 4380
Trained episode: 144, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4410
Trained episode: 145, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 4440
Trained episode: 146, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 4470
Trained episode: 147, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 4501
Trained episode: 148, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 4531
Trained episode: 149, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 4561
Trained episode: 150, current score: -1 mean_score: 0.8, e: 0.099, iterations (steps): 4591
Trained episode: 151, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 4622
Trained episode: 152, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 4652
Trained episode: 153, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 4682
Trained episode: 154, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 4713
Trained episode: 155, current score: -1 mean_score: 0.8, e: 0.099, iterations (steps): 4743
Trained episode: 156, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 4774
Trained episode: 157, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 4806
Trained episode: 158, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 4838
Trained episode: 159, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 4868
Trained episode: 160, current score: 1.0 mean_score: 0.8, e: 0.099, iterations (steps): 4898
Trained episode: 161, current score: 1.0 mean_score: 0.9, e: 0.099, iterations (steps): 4928
Trained episode: 162, current score: -1 mean_score: 0.9, e: 0.099, iterations (steps): 4958
Trained episode: 163, current score: -1 mean_score: 0.8, e: 0.099, iterations (steps): 4989
Trained episode: 164, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 5019
Trained episode: 165, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 5049
Trained episode: 166, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 5079
Trained episode: 167, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 5109
Trained episode: 168, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 5139
Trained episode: 169, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 5169
Trained episode: 170, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 5199
Trained episode: 171, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 5230
Trained episode: 172, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 5260
Trained episode: 173, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 5290
Trained episode: 174, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 5320
Trained episode: 175, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 5350
Trained episode: 176, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 5380
Trained episode: 177, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 5410
Trained episode: 178, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 5440
Trained episode: 179, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 5470
Trained episode: 180, current score: 1.0 mean_score: 0.7, e: 0.099, iterations (steps): 5501
Trained episode: 181, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 5531
Trained episode: 182, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 5562
Trained episode: 183, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 5592
Trained episode: 184, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 5622
Trained episode: 185, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 5652
Trained episode: 186, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 5683
Trained episode: 187, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 5714
Trained episode: 188, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 5744
Trained episode: 189, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 5774
Trained episode: 190, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 5804
Trained episode: 191, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 5835
Trained episode: 192, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 5865
Trained episode: 193, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 5895
Trained episode: 194, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 5925
Trained episode: 195, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 5956
Trained episode: 196, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 5986
Trained episode: 197, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 6016
Trained episode: 198, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 6047
Trained episode: 199, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6077
Trained episode: 200, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 6107
Trained episode: 201, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 6138
Trained episode: 202, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 6168
Trained episode: 203, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 6199
Trained episode: 204, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6230
Trained episode: 205, current score: -1 mean_score: 0.7, e: 0.099, iterations (steps): 6262
Trained episode: 206, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 6292
Trained episode: 207, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 6322
Trained episode: 208, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 6352
Trained episode: 209, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 6383
Trained episode: 210, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 6414
Trained episode: 211, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 6444
Trained episode: 212, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 6475
Trained episode: 213, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6506
Trained episode: 214, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 6536
Trained episode: 215, current score: 1.0 mean_score: 0.5, e: 0.099, iterations (steps): 6567
Trained episode: 216, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 6597
Trained episode: 217, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 6627
Trained episode: 218, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6658
Trained episode: 219, current score: 1.0 mean_score: 0.6, e: 0.099, iterations (steps): 6689
Trained episode: 220, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 6720
Trained episode: 221, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 6751
Trained episode: 222, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 6781
Trained episode: 223, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 6811
Trained episode: 224, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 6842
Trained episode: 225, current score: 1.0 mean_score: 0.4, e: 0.099, iterations (steps): 6872
Trained episode: 226, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 6902
Trained episode: 227, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 6932
Random games won/total: 0/1.0, win %: 0.0%, last score: -1
Random games won/total: 0/2.0, win %: 0.0%, last score: -1
Random games won/total: 1/3.0, win %: 33.33%, last score: 1.0
Random games won/total: 2/4.0, win %: 50.0%, last score: 1.0
Random games won/total: 3/5.0, win %: 60.0%, last score: 1.0
Random games won/total: 3/6.0, win %: 50.0%, last score: -1
Random games won/total: 3/7.0, win %: 42.86%, last score: -1
Random games won/total: 3/8.0, win %: 37.5%, last score: -1
Random games won/total: 3/9.0, win %: 33.33%, last score: -1
Random games won/total: 4/10.0, win %: 40.0%, last score: 1.0
Random games won/total: 5/11.0, win %: 45.45%, last score: 1.0
Random games won/total: 5/12.0, win %: 41.67%, last score: -1
Random games won/total: 6/13.0, win %: 46.15%, last score: 1.0
Random games won/total: 6/14.0, win %: 42.86%, last score: -1
Random games won/total: 7/15.0, win %: 46.67%, last score: 1.0
Random games won/total: 7/16.0, win %: 43.75%, last score: -1
Random games won/total: 7/17.0, win %: 41.18%, last score: -1
Random games won/total: 7/18.0, win %: 38.89%, last score: -1
Random games won/total: 7/19.0, win %: 36.84%, last score: -1
Random games won/total: 7/20.0, win %: 35.0%, last score: -1
Random games won/total: 8/21.0, win %: 38.1%, last score: 1.0
Random games won/total: 9/22.0, win %: 40.91%, last score: 1.0
Random games won/total: 10/23.0, win %: 43.48%, last score: 1.0
Random games won/total: 11/24.0, win %: 45.83%, last score: 1.0
Random games won/total: 11/25.0, win %: 44.0%, last score: -1
Random games won/total: 12/26.0, win %: 46.15%, last score: 1.0
Random games won/total: 12/27.0, win %: 44.44%, last score: -1
Random games won/total: 12/28.0, win %: 42.86%, last score: -1
Random games won/total: 12/29.0, win %: 41.38%, last score: -1
Random games won/total: 13/30.0, win %: 43.33%, last score: 1.0
Random games won/total: 1/1.0, win %: 100.0%, last score: 1.0
Random games won/total: 2/2.0, win %: 100.0%, last score: 1.0
Random games won/total: 2/3.0, win %: 66.67%, last score: -1
Random games won/total: 2/4.0, win %: 50.0%, last score: -1
Random games won/total: 3/5.0, win %: 60.0%, last score: 1.0
Random games won/total: 3/6.0, win %: 50.0%, last score: -1
Random games won/total: 3/7.0, win %: 42.86%, last score: -1
Random games won/total: 3/8.0, win %: 37.5%, last score: -1
Random games won/total: 3/9.0, win %: 33.33%, last score: -1
Random games won/total: 4/10.0, win %: 40.0%, last score: 1.0
Random games won/total: 4/11.0, win %: 36.36%, last score: -1
Random games won/total: 4/12.0, win %: 33.33%, last score: -1
Random games won/total: 5/13.0, win %: 38.46%, last score: 1.0
Random games won/total: 5/14.0, win %: 35.71%, last score: -1
Random games won/total: 5/15.0, win %: 33.33%, last score: -1
Random games won/total: 5/16.0, win %: 31.25%, last score: -1
Random games won/total: 6/17.0, win %: 35.29%, last score: 1.0
Random games won/total: 7/18.0, win %: 38.89%, last score: 1.0
Random games won/total: 8/19.0, win %: 42.11%, last score: 1.0
Random games won/total: 8/20.0, win %: 40.0%, last score: -1
Random games won/total: 8/21.0, win %: 38.1%, last score: -1
Random games won/total: 9/22.0, win %: 40.91%, last score: 1.0
Random games won/total: 9/23.0, win %: 39.13%, last score: -1
Random games won/total: 10/24.0, win %: 41.67%, last score: 1.0
Random games won/total: 10/25.0, win %: 40.0%, last score: -1
Random games won/total: 10/26.0, win %: 38.46%, last score: -1
Random games won/total: 11/27.0, win %: 40.74%, last score: 1.0
Random games won/total: 12/28.0, win %: 42.86%, last score: 1.0
Random games won/total: 12/29.0, win %: 41.38%, last score: -1
Random games won/total: 12/30.0, win %: 40.0%, last score: -1
Trained episode: 1, current score: -1 mean_score: 0.0, e: 0.74, iterations (steps): 30
Trained episode: 2, current score: 1.0 mean_score: 0.0, e: 0.54, iterations (steps): 61
Trained episode: 3, current score: -1 mean_score: 0.0, e: 0.4, iterations (steps): 91
Trained episode: 4, current score: -1 mean_score: 0.0, e: 0.3, iterations (steps): 121
Trained episode: 5, current score: 1.0 mean_score: 0.0, e: 0.22, iterations (steps): 151
Trained episode: 6, current score: 1.0 mean_score: 0.0, e: 0.16, iterations (steps): 181
Trained episode: 7, current score: 1.0 mean_score: 0.0, e: 0.12, iterations (steps): 211
Trained episode: 8, current score: 1.0 mean_score: 0.0, e: 0.099, iterations (steps): 242
Trained episode: 9, current score: -1 mean_score: 0.0, e: 0.099, iterations (steps): 272
Trained episode: 10, current score: 1.0 mean_score: 0.0, e: 0.099, iterations (steps): 302
Trained episode: 11, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 332
Trained episode: 12, current score: -1 mean_score: 0.6, e: 0.099, iterations (steps): 362
Trained episode: 13, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 392
Trained episode: 14, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 423
Trained episode: 15, current score: -1 mean_score: 0.5, e: 0.099, iterations (steps): 453
Trained episode: 16, current score: -1 mean_score: 0.4, e: 0.099, iterations (steps): 483
Trained episode: 17, current score: -1 mean_score: 0.3, e: 0.099, iterations (steps): 513
Random games won/total: 0/1.0, win %: 0.0%, last score: -1
Random games won/total: 0/2.0, win %: 0.0%, last score: -1
Random games won/total: 1/3.0, win %: 33.33%, last score: 1.0
Random games won/total: 1/4.0, win %: 25.0%, last score: -1
Random games won/total: 2/5.0, win %: 40.0%, last score: 1.0
Random games won/total: 2/6.0, win %: 33.33%, last score: -1
Random games won/total: 3/7.0, win %: 42.86%, last score: 1.0
Random games won/total: 3/8.0, win %: 37.5%, last score: -1
Random games won/total: 3/9.0, win %: 33.33%, last score: -1
Random games won/total: 4/10.0, win %: 40.0%, last score: 1.0
Random games won/total: 5/11.0, win %: 45.45%, last score: 1.0
Random games won/total: 5/12.0, win %: 41.67%, last score: -1
Random games won/total: 5/13.0, win %: 38.46%, last score: -1
Random games won/total: 6/14.0, win %: 42.86%, last score: 1.0
Random games won/total: 7/15.0, win %: 46.67%, last score: 1.0
