Games won/total: 37/227, win %: 16.3%, last score - black/white:3/7
Games won/total: 37/228, win %: 16.23%, last score - black/white:3/7
Games won/total: 37/229, win %: 16.16%, last score - black/white:3/7
Games won/total: 37/230, win %: 16.09%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 37/231, win %: 16.02%, last score - black/white:3/7
Games won/total: 37/232, win %: 15.95%, last score - black/white:3/7
Games won/total: 37/233, win %: 15.88%, last score - black/white:3/7
Games won/total: 37/234, win %: 15.81%, last score - black/white:3/7
Games won/total: 37/235, win %: 15.74%, last score - black/white:3/7
Games won/total: 37/236, win %: 15.68%, last score - black/white:3/7
Games won/total: 37/237, win %: 15.61%, last score - black/white:3/7
Games won/total: 37/238, win %: 15.55%, last score - black/white:3/7
Games won/total: 37/239, win %: 15.48%, last score - black/white:3/7
Games won/total: 37/240, win %: 15.42%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 37/241, win %: 15.35%, last score - black/white:3/7
Games won/total: 37/242, win %: 15.29%, last score - black/white:3/7
Games won/total: 37/243, win %: 15.23%, last score - black/white:3/7
Games won/total: 37/244, win %: 15.16%, last score - black/white:3/7
Games won/total: 37/245, win %: 15.1%, last score - black/white:4/8
Games won/total: 37/246, win %: 15.04%, last score - black/white:3/7
Games won/total: 37/247, win %: 14.98%, last score - black/white:3/7
Games won/total: 37/248, win %: 14.92%, last score - black/white:3/7
Games won/total: 37/249, win %: 14.86%, last score - black/white:3/7
Games won/total: 37/250, win %: 14.8%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 37/251, win %: 14.74%, last score - black/white:3/7
Games won/total: 37/252, win %: 14.68%, last score - black/white:3/7
Games won/total: 37/253, win %: 14.62%, last score - black/white:3/7
Games won/total: 37/254, win %: 14.57%, last score - black/white:3/7
Games won/total: 37/255, win %: 14.51%, last score - black/white:3/7
Games won/total: 37/256, win %: 14.45%, last score - black/white:3/7
Games won/total: 37/257, win %: 14.4%, last score - black/white:3/7
Games won/total: 37/258, win %: 14.34%, last score - black/white:3/7
Games won/total: 37/259, win %: 14.29%, last score - black/white:3/7
Games won/total: 37/260, win %: 14.23%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 37/261, win %: 14.18%, last score - black/white:3/7
Games won/total: 37/262, win %: 14.12%, last score - black/white:4/8
Games won/total: 37/263, win %: 14.07%, last score - black/white:3/7
Games won/total: 37/264, win %: 14.02%, last score - black/white:3/7
Games won/total: 37/265, win %: 13.96%, last score - black/white:3/7
Games won/total: 37/266, win %: 13.91%, last score - black/white:3/7
Games won/total: 37/267, win %: 13.86%, last score - black/white:3/3
Games won/total: 37/268, win %: 13.81%, last score - black/white:3/7
Games won/total: 38/269, win %: 14.13%, last score - black/white:8/6
Games won/total: 38/270, win %: 14.07%, last score - black/white:3/7
Syncing agents weights...
Games won/total: 38/271, win %: 14.02%, last score - black/white:3/7
Games won/total: 38/272, win %: 13.97%, last score - black/white:3/7
Games won/total: 38/273, win %: 13.92%, last score - black/white:3/7
Games won/total: 38/274, win %: 13.87%, last score - black/white:10/12
Games won/total: 38/275, win %: 13.82%, last score - black/white:3/7
Games won/total: 39/276, win %: 14.13%, last score - black/white:20/12
Games won/total: 39/277, win %: 14.08%, last score - black/white:3/7
